"name","type","source","code","mean","sd","lowend","highend","mid","low","up","ymax","ymin"
"Striped Mullet","RB10","Phytoplankton","Wet",0.272,0.171,0.022,0.641,0.254,0.128,0.389,0.641,0.022
"Striped Mullet","RB10","Wet Mangrove","Wet",0.033,0.048,0,0.17,0.014,0.004,0.041,0.0965,0
"Tidewater Mojarra","RB10","Dry Mangrove","Wet",0.091,0.102,0.001,0.363,0.053,0.017,0.128,0.2945,0.001
"Tidewater Mojarra","RB10","Epiphytes","Wet",0.517,0.195,0.181,0.904,0.498,0.37,0.655,0.904,0.181
"Tidewater Mojarra","RB10","Phytoplankton","Wet",0.354,0.193,0.028,0.725,0.356,0.198,0.498,0.725,0.028
"Tidewater Mojarra","RB10","Wet Mangrove","Wet",0.038,0.058,0,0.217,0.015,0.005,0.045,0.105,0
"Tidewater Silverside","RB10","Dry Mangrove","Dry",0.21,0.193,0.002,0.662,0.152,0.044,0.336,0.662,0.002
"Tidewater Silverside","RB10","Epiphytes","Dry",0.267,0.162,0.056,0.685,0.231,0.149,0.349,0.649,0.056
"Tidewater Silverside","RB10","Phytoplankton","Dry",0.458,0.195,0.072,0.821,0.462,0.321,0.6,0.821,0.072
"Tidewater Silverside","RB10","Wet Mangrove","Dry",0.065,0.085,0.001,0.317,0.03,0.009,0.087,0.204,0.001
"Tidewater Silverside","RB10","Dry Mangrove","Wet",0.198,0.187,0.001,0.64,0.14,0.038,0.319,0.64,0.001
"Tidewater Silverside","RB10","Epiphytes","Wet",0.347,0.168,0.082,0.742,0.324,0.22,0.451,0.742,0.082
"Tidewater Silverside","RB10","Phytoplankton","Wet",0.388,0.178,0.063,0.756,0.38,0.26,0.51,0.756,0.063
"Tidewater Silverside","RB10","Wet Mangrove","Wet",0.067,0.1,0,0.386,0.024,0.006,0.083,0.1985,0
