Site,Date,Year,Salinity,TN_um_L,TN_moles_L,TN_g_L,TN_ug_L,TP_um_L,TP_moles_L,TP_g_L,TP_ug_L,NP_molar,NP_mass
SRS2,2/13/01,2001,0.00,57.87,0.000058,0.000811,810.57,0.26,0.000000,0.000008,8.05,222.57,100.65
SRS4,2/13/01,2001,4.00,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS1,2/15/01,2001,0.00,42.71,0.000043,0.000598,598.27,0.55,0.000001,0.000017,17.04,77.66,35.12
SRS5,2/15/01,2001,18.00,22.22,0.000022,0.000311,311.22,0.41,0.000000,0.000013,12.70,54.19,24.51
SRS6,2/15/01,2001,23.00,17.13,0.000017,0.000240,239.98,0.65,0.000001,0.000020,20.13,26.36,11.92
SRS2,2/16/01,2001,0.00,65.14,0.000065,0.000912,912.35,0.28,0.000000,0.000009,8.67,232.63,105.20
SRS4,2/16/01,2001,4.50,41.65,0.000042,0.000583,583.39,0.85,0.000001,0.000026,26.33,49.00,22.16
SRS1,2/18/01,2001,0.00,46.40,0.000046,0.000650,649.94,1.00,0.000001,0.000031,30.97,46.40,20.98
SRS5,2/18/01,2001,17.00,24.01,0.000024,0.000336,336.32,0.54,0.000001,0.000017,16.73,44.46,20.11
SRS6,2/18/01,2001,23.50,20.31,0.000020,0.000285,284.51,0.56,0.000001,0.000017,17.35,36.27,16.40
SRS2,2/19/01,2001,0.00,66.09,0.000066,0.000926,925.74,0.11,0.000000,0.000003,3.41,600.83,271.70
SRS4,2/19/01,2001,4.50,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS1,2/21/01,2001,0.00,42.76,0.000043,0.000599,598.88,0.86,0.000001,0.000027,26.64,49.72,22.48
SRS5,2/21/01,2001,17.00,26.24,0.000026,0.000368,367.54,0.43,0.000000,0.000013,13.32,61.02,27.60
SRS6,2/21/01,2001,24.00,18.40,0.000018,0.000258,257.70,0.56,0.000001,0.000017,17.35,32.85,14.86
SRS2,2/22/01,2001,0.00,0.00,0.000000,0.000000,0.01,0.08,0.000000,0.000002,2.48,0.01,0.01
SRS4,2/22/01,2001,5.50,29.36,0.000029,0.000411,411.23,0.63,0.000001,0.000020,19.51,46.60,21.07
SRS1,2/24/01,2001,0.00,44.92,0.000045,0.000629,629.24,1.01,0.000001,0.000031,31.28,44.48,20.11
SRS5,2/24/01,2001,21.00,24.72,0.000025,0.000346,346.23,0.44,0.000000,0.000014,13.63,56.18,25.40
SRS6,2/24/01,2001,26.00,19.20,0.000019,0.000269,268.89,0.76,0.000001,0.000024,23.54,25.26,11.42
SRS2,2/25/01,2001,0.00,66.17,0.000066,0.000927,926.79,0.35,0.000000,0.000011,10.84,189.05,85.49
SRS4,2/25/01,2001,8.00,45.65,0.000046,0.000639,639.36,0.72,0.000001,0.000022,22.30,63.40,28.67
SRS1,2/27/01,2001,0.00,52.99,0.000053,0.000742,742.19,1.11,0.000001,0.000034,34.38,47.74,21.59
SRS5,2/27/01,2001,22.00,19.32,0.000019,0.000271,270.64,0.56,0.000001,0.000017,17.35,34.50,15.60
SRS6,2/27/01,2001,26.50,13.65,0.000014,0.000191,191.22,0.94,0.000001,0.000029,29.12,14.52,6.57
SRS4,2/28/01,2001,9.50,30.24,0.000030,0.000424,423.59,1.04,0.000001,0.000032,32.21,29.08,13.15
SRS5,2/28/01,2001,23.50,27.03,0.000027,0.000379,378.60,0.00,0.000000,0.000000,0.03,27029.00,12223.00
SRS6,2/28/01,2001,26.50,0.00,0.000000,0.000000,0.01,0.00,0.000000,0.000000,0.03,1.00,0.45
SRS1,3/2/01,2001,0.00,60.26,0.000060,0.000844,844.06,0.99,0.000001,0.000031,30.66,60.87,27.53
SRS3,3/2/01,2001,0.00,87.05,0.000087,0.001219,1219.27,0.00,0.000000,0.000000,0.03,87047.00,39364.22
